"circuit","location"
"Adelaide Street Circuit","Adelaide, Australia"
"Ain-Diab Circuit","Casablanca, Morocco"
"Aintree Motor Racing Circuit","Aintree, United Kingdom"
"Algarve International Circuit","Portimão, Portugal"
"Anderstorp Raceway","Anderstorp, Sweden"
"Autódromo do Estoril","Estoril, Portugal"
"Autódromo Hermanos Rodríguez","Mexico City, Mexico"
"Autódromo Internacional Nelson Piquet","Rio de Janeiro, Brazil"
"Autodromo Internazionale del Mugello","Scarperia e San Piero, Italy"
"Autodromo Internazionale Enzo e Dino Ferrari","Imola, Italy"
"Autódromo José Carlos Pace","São Paulo, Brazil"
"Autódromo Juan y Oscar Gálvez","Buenos Aires, Argentina"
"Autodromo Nazionale Monza","Monza, Italy"
"AVUS","Berlin, Germany"
"Bahrain International Circuit","Sakhir, Bahrain"
"Baku City Circuit","Baku, Azerbaijan"
"Brands Hatch","Fawkham, United Kingdom"
"Buddh International Circuit","Greater Noida, India"
"Bugatti Circuit","Le Mans, France"
"Caesars Palace","Las Vegas, United States of America"
"Canadian Tire Motorsport Park","Bowmanville, Canada"
"Charade Circuit","Clermont-Ferrand, France"
"Circuit Bremgarten","Bern, Switzerland"
"Circuit de Barcelona-Catalunya","Montmeló, Spain"
"Circuit de Monaco","Monte Carlo, Monaco"
"Circuit de Nevers Magny-Cours","Nevers, France"
"Circuit de Spa-Francorchamps","Spa, Belgium"
"Circuit Gilles Villeneuve","Montreal, Canada"
"Circuit Mont-Tremblant","Mont-Tremblant, Canada"
"Circuito da Boavista","Porto, Portugal"
"Circuito de Jerez","Jerez de la Frontera, Spain"
"Circuito del Jarama","Madrid, Spain"
"Circuito de Monsanto","Lisbon, Portugal"
"Circuito de Montjuïc","Barcelona, Spain"
"Circuit of the Americas","Austin, United States of America"
"Circuit Park Zandvoort","Zandvoort, Netherlands"
"Circuit Paul Ricard","Le Castellet, France"
"Circuit Zolder","Heusden-Zolder, Belgium"
"Detroit Street Circuit","Detroit, United States of America"
"Dijon-Prenois","Dijon, France"
"Donington Park","Leicestershire, United Kingdom"
"Fair Park","Dallas, United States of America"
"Fuji Speedway","Oyama, Japan"
"Hockenheimring","Hockenheim, Germany"
"Hungaroring","Budapest, Hungary"
"Indianapolis Motor Speedway","Indianapolis, United States of America"
"Istanbul Park","Istanbul, Turkey"
"Jeddah Corniche Circuit","Jeddah, Saudi Arabia"
"Korea International Circuit","Yeongam, South Korea"
"Kyalami Racing Circuit","Midrand, South Africa"
"Las Vegas Street Circuit","Las Vegas, United States of America"
"Long Beach","Long Beach, United States of America"
"Lusail International Circuit","Lusail, Qatar"
"Marina Bay Street Circuit","Singapore, Singapore"
"Melbourne Grand Prix Circuit","Melbourne, Australia"
"Miami International Autodrome","Miami Gardens, United States of America"
"Nivelles-Baulers","Nivelles, Belgium"
"Nürburgring","Nürburg, Germany"
"Okayama International Circuit","Aida, Japan"
"Pedralbes Circuit","Barcelona, Spain"
"Pescara Circuit","Pescara, Italy"
"Phoenix Street Circuit","Phoenix, United States of America"
"Prince George Circuit","East London, South Africa"
"Red Bull Ring","Spielberg, Austria"
"Reims-Gueux","Reims, France"
"Riverside International Raceway","Riverside, United States of America"
"Rouen-Les-Essarts","Rouen, France"
"Sebring International Raceway","Sebring, United States of America"
"Sepang International Circuit","Sepang, Malaysia"
"Shanghai International Circuit","Shanghai, China"
"Silverstone Circuit","Silverstone, United Kingdom"
"Sochi Autodrom","Sochi, Russia"
"Suzuka Circuit","Suzuka, Japan"
"Valencia Street Circuit","Valencia, Spain"
"Watkins Glen International","Watkins Glen, United States of America"
"Yas Marina Circuit","Abu Dhabi, United Arab Emirates"
"Zeltweg","Zeltweg, Austria"