year,team,win,podium
1950,Alfa Romeo Racing,0,0
1950,Scuderia AlphaTauri,1,1
1950,Scuderia Ferrari,0,3
1950,Haas F1 Team,0,0
1950,McLaren Racing,0,2
1950,Mercedes AMG F1,13,25
1950,Racing Point F1 Team,1,4
1950,Red Bull Racing,2,13
1950,Renault Sport Formula One Team,0,3
1950,Williams Grand Prix Engineering,0,0
1951,Adams,0,0
1951,Alfa Romeo Racing,6,12
1951,Alta Car and Engineering Company,0,0
1951,Cooper Car Company,0,0
1951,Deidt,0,2
1951,English Racing Automobiles (ERA),0,0
1951,Ewing,0,0
1951,Scuderia Ferrari,0,4
1951,Kurtis,1,1
1951,Kurtis Kraft,0,0
1951,Langley,0,0
1951,Lesovsky,0,0
1951,Marchese,0,0
1951,Maserati,0,1
1951,Moore,0,0
1951,Nichels,0,0
1951,Olson,0,0
1951,Rae,0,0
1951,Simca-Gordini,0,0
1951,Snowberger,0,0
1951,Stevens,0,0
1951,Talbot-Lago,0,2
1951,Watson,0,0
1951,Wetteroth,0,0
1952,Alfa Romeo Racing,5,11
1952,Alta Car and Engineering Company,0,0
1952,British Racing Motors (BRM),0,0
1952,Bromme,0,0
1952,Deidt,0,0
1952,English Racing Automobiles (ERA),0,0
1952,Scuderia Ferrari,3,13
1952,Hersham and Walton Motors (HWM),0,0
1952,Hall,0,0
1952,Kurtis,1,4
1952,Kurtis Kraft,0,0
1952,Kuzma,0,0
1952,Lesovsky,0,0
1952,Marchese,0,0
1952,Maserati,0,0
1952,Moore,0,0
1952,Officine Specializzate Costruzione Automobili (O.S.C.A.),0,0
1952,Pawl,0,0
1952,Schroeder,0,0
1952,Sherman,0,0
1952,Simca-Gordini,0,0
1952,Talbot-Lago,0,0
1952,Trevis,0,0
1952,Veritas,0,0
1952,Watson,0,0
1953,Alex von Falkenhausen Motorenbau (AFM),0,0
1953,Alta Car and Engineering Company,0,0
1953,Aston Butterworth,0,0
1953,Balsa,0,0
1953,Bromme,0,0
1953,Cisitalia,0,0
1953,Connaught Engineering,0,0
1953,Cooper Car Company,0,1
1953,Deidt,0,0
1953,English Racing Automobiles (ERA),0,0
1953,Scuderia Ferrari,7,17
1953,Frazer-Nash,0,0
1953,Gordini,0,2
1953,Greifzu,0,0
1953,Hersham and Walton Motors (HWM),0,0
1953,Heck,0,0
1953,Krakau,0,0
1953,Kurtis,0,2
1953,Kurtis Kraft,0,0
1953,Kuzma,1,1
1953,Lesovsky,0,0
1953,Maserati,0,1
1953,Nacke,0,0
1953,Officine Specializzate Costruzione Automobili (O.S.C.A.),0,0
1953,Reif,0,0
1953,Sherman,0,0
1953,Simca-Gordini,0,0
1953,Stevens,0,0
1953,Trevis,0,0
1953,Veritas,0,0
1953,Watson,0,0
1954,Alex von Falkenhausen Motorenbau (AFM),0,0
1954,Bromme,0,0
1954,Connaught Engineering,0,0
1954,Cooper Car Company,0,0
1954,Del Roy,0,0
1954,Eisenacher Motorenwerk (EMW),0,0
1954,Scuderia Ferrari,7,16
1954,Gordini,0,0
1954,Greifzu,0,0
1954,Hersham and Walton Motors (HWM),0,0
1954,Heck,0,0
1954,Kurtis,1,4
1954,Kurtis Kraft,0,0
1954,Kuzma,0,0
1954,Lesovsky,0,0
1954,Maserati,1,9
1954,Officine Specializzate Costruzione Automobili (O.S.C.A.),0,0
1954,Schroeder,0,0
1954,Simca-Gordini,0,0
1954,Stevens,0,0
1954,Turner,0,0
1954,Veritas,0,0
1954,Watson,0,0
1955,Bromme,0,0
1955,Connaught Engineering,0,0
1955,Cooper Car Company,0,0
1955,Scuderia Ferrari,2,14
1955,Gordini,0,0
1955,Hersham and Walton Motors (HWM),0,0
1955,Klenk,0,0
1955,Kurtis,1,2
1955,Kurtis Kraft,0,0
1955,Kuzma,0,1
1955,Lancia,0,0
1955,Maserati,2,5
1955,Mercedes AMG F1,4,7
1955,Nichels,0,0
1955,Pankratz,0,0
1955,Pawl,0,0
1955,Phillips,0,0
1955,Schroeder,0,0
1955,Stevens,0,0
1955,Vanwall,0,0
2020,Alfa Romeo Racing,0,0
2020,Scuderia AlphaTauri,0,1
2020,Alpine F1 Team,1,2
2020,Aston Martin,0,1
2020,Scuderia Ferrari,0,5
2020,Haas F1 Team,0,0
2020,McLaren Racing,1,5
2020,Mercedes AMG F1,9,28
2020,Red Bull Racing,11,23
2020,Williams Grand Prix Engineering,0,1
2021,Alfa Romeo Racing,0,0
2021,Scuderia AlphaTauri,0,1
2021,Alpine F1 Team,1,2
2021,Aston Martin,0,1
2021,Scuderia Ferrari,0,5
2021,Haas F1 Team,0,0
2021,McLaren Racing,1,5
2021,Mercedes AMG F1,9,28
2021,Red Bull Racing,11,23
2021,Williams Grand Prix Engineering,0,1
2022,Alfa Romeo Racing,0,0
2022,Scuderia AlphaTauri,0,0
2022,Alpine F1 Team,0,0
2022,Aston Martin,0,0
2022,Scuderia Ferrari,4,20
2022,Haas F1 Team,0,0
2022,McLaren Racing,0,1
2022,Mercedes AMG F1,1,17
2022,Red Bull Racing,17,28
2022,Williams Grand Prix Engineering,0,0
2023,Alfa Romeo Racing,0,0
2023,Scuderia AlphaTauri,0,0
2023,Alpine F1 Team,0,2
2023,Aston Martin,0,8
2023,Scuderia Ferrari,1,9
2023,Haas F1 Team,0,0
2023,McLaren Racing,0,9
2023,Mercedes AMG F1,0,8
2023,Red Bull Racing,21,30
2023,Williams Grand Prix Engineering,0,0
2024,Alpine F1 Team,0,2
2024,Aston Martin,0,0
2024,Scuderia Ferrari,5,22
2024,Haas F1 Team,0,0
2024,Kick Sauber F1 Team,0,0
2024,McLaren Racing,6,21
2024,Mercedes AMG F1,4,9
2024,Racing Bulls (RB),0,0
2024,Red Bull Racing,9,18
2024,Williams Grand Prix Engineering,0,0
